year,exam,question_id,bucket,points,evaluated,correct
2018,112,2018A001,general_clinical,1,True,True
2018,112,2018A002,general_clinical,1,True,True
2018,112,2018A003,general_clinical,1,True,True
2018,112,2018A004,general_clinical,1,True,True
2018,112,2018A005,general_clinical,1,True,True
2018,112,2018A006,general_clinical,1,True,True
2018,112,2018A007,general_clinical,1,True,True
2018,112,2018A008,general_clinical,1,True,True
2018,112,2018A009,general_clinical,1,True,True
2018,112,2018A010,general_clinical,1,True,False
2018,112,2018A011,general_clinical,1,True,True
2018,112,2018A012,general_clinical,1,True,True
2018,112,2018A013,general_clinical,1,True,True
2018,112,2018A014,general_clinical,1,True,False
2018,112,2018A015,general_clinical,1,True,True
2018,112,2018A016,general_clinical,1,True,True
2018,112,2018A017,general_clinical,1,True,True
2018,112,2018A018,general_clinical,1,True,True
2018,112,2018A019,general_clinical,1,True,True
2018,112,2018A020,general_clinical,1,True,True
2018,112,2018A021,general_clinical,1,True,True
2018,112,2018A022,general_clinical,1,True,False
2018,112,2018A023,general_clinical,1,True,True
2018,112,2018A024,general_clinical,1,True,False
2018,112,2018A025,general_clinical,1,True,True
2018,112,2018A026,general_clinical,1,True,True
2018,112,2018A027,general_clinical,1,True,True
2018,112,2018A028,general_clinical,1,True,True
2018,112,2018A029,general_clinical,1,True,True
2018,112,2018A030,general_clinical,1,True,True
2018,112,2018A031,general_clinical,1,True,True
2018,112,2018A032,general_clinical,1,True,True
2018,112,2018A033,general_clinical,1,True,False
2018,112,2018A034,general_clinical,1,True,False
2018,112,2018A035,general_clinical,1,True,True
2018,112,2018A036,general_clinical,1,True,True
2018,112,2018A037,general_clinical,1,True,True
2018,112,2018A038,general_clinical,1,True,True
2018,112,2018A039,general_clinical,1,True,True
2018,112,2018A040,general_clinical,1,True,True
2018,112,2018A041,general_clinical,1,True,True
2018,112,2018A042,general_clinical,1,True,True
2018,112,2018A044,general_clinical,1,True,True
2018,112,2018A045,general_clinical,1,True,True
2018,112,2018A046,general_clinical,1,True,True
2018,112,2018A047,general_clinical,1,True,True
2018,112,2018A048,general_clinical,1,True,False
2018,112,2018A049,general_clinical,1,True,True
2018,112,2018A050,general_clinical,1,True,True
2018,112,2018A051,general_clinical,1,True,True
2018,112,2018A052,general_clinical,1,True,True
2018,112,2018A053,general_clinical,1,True,True
2018,112,2018A054,general_clinical,1,True,True
2018,112,2018A055,general_clinical,1,True,True
2018,112,2018A056,general_clinical,1,True,True
2018,112,2018A057,general_clinical,1,True,False
2018,112,2018A058,general_clinical,1,True,True
2018,112,2018A059,general_clinical,1,True,True
2018,112,2018A060,general_clinical,1,True,True
2018,112,2018A061,general_clinical,1,True,True
2018,112,2018A062,general_clinical,1,True,True
2018,112,2018A063,general_clinical,1,True,True
2018,112,2018A064,general_clinical,1,True,True
2018,112,2018A065,general_clinical,1,True,True
2018,112,2018A066,general_clinical,1,True,True
2018,112,2018A067,general_clinical,1,True,True
2018,112,2018A068,general_clinical,1,True,True
2018,112,2018A069,general_clinical,1,True,True
2018,112,2018A070,general_clinical,1,True,True
2018,112,2018A071,general_clinical,1,True,True
2018,112,2018A072,general_clinical,1,True,True
2018,112,2018A073,general_clinical,1,True,True
2018,112,2018A074,general_clinical,1,True,True
2018,112,2018A075,general_clinical,1,True,True
2018,112,2018B001,required,1,True,True
2018,112,2018B002,required,1,True,True
2018,112,2018B003,required,1,True,True
2018,112,2018B004,required,1,True,True
2018,112,2018B005,required,1,True,True
2018,112,2018B006,required,1,True,True
2018,112,2018B007,required,1,True,True
2018,112,2018B008,required,1,True,True
2018,112,2018B009,required,1,True,True
2018,112,2018B010,required,1,True,True
2018,112,2018B011,required,1,True,True
2018,112,2018B012,required,1,True,True
2018,112,2018B013,required,1,True,True
2018,112,2018B014,required,1,True,True
2018,112,2018B015,required,1,True,True
2018,112,2018B016,required,1,True,True
2018,112,2018B017,required,1,True,True
2018,112,2018B018,required,1,True,True
2018,112,2018B019,required,1,True,True
2018,112,2018B020,required,1,True,True
2018,112,2018B021,required,1,True,True
2018,112,2018B022,required,1,True,True
2018,112,2018B023,required,1,True,False
2018,112,2018B024,required,1,True,True
2018,112,2018B025,required,1,True,True
2018,112,2018B026,required,3,True,True
